model,arrhythmia,breastw,cardio,campaign,cardiotocography,glass,ionosphere,mammography,optdigits,pima,pendigits,satellite,thyroid,wbc,wine,AVG_AUC
MemPAE-ws-d16-lr0.005-t0.1,0.6174,0.9794,0.7694,0.4839,0.6357,0.3124,0.9788,0.4114,0.2978,0.7009,0.7838,0.8615,0.7717,0.7643,0.7824,0.6767
MemPAE-ws-d16-lr0.01,0.6146,0.9825,0.7408,0.4725,0.6168,0.3144,0.9777,0.4042,0.3189,0.6825,0.735,0.8541,0.7635,0.79,0.8467,0.6743
MemPAE-ws-d16-lr0.01-t0.1,0.6186,0.9824,0.7415,0.5021,0.6144,0.3197,0.9768,0.4027,0.3381,0.6791,0.8826,0.8625,0.7752,0.7736,0.7418,0.6807
MemPAE-ws-d16-lr0.05,0.6135,0.9833,0.7376,0.4216,0.6636,0.2262,0.9584,0.379,0.1445,0.6903,0.6072,0.8345,0.6399,0.7684,0.693,0.6241
MemPAE-ws-d16-lr0.05-t0.1,0.6125,0.9835,0.7465,0.4263,0.686,0.1722,0.9558,0.3695,0.2606,0.6903,0.8049,0.8406,0.7179,0.7646,0.7037,0.649
MemPAE-ws-d32-lr0.001,0.6117,0.9846,0.8152,0.4879,0.6634,0.2925,0.9818,0.424,0.2338,0.6894,0.8025,0.8645,0.7476,0.785,0.735,0.6746
MemPAE-ws-d32-lr0.001-t0.1,0.61,0.9863,0.8127,0.4983,0.6555,0.3248,0.9793,0.4076,0.2032,0.6844,0.8411,0.869,0.7643,0.7832,0.7627,0.6788
MemPAE-ws-d32-lr0.005,0.6089,0.9848,0.7889,0.495,0.6629,0.3047,0.975,0.4264,0.2615,0.68,0.6928,0.8625,0.7627,0.7856,0.7886,0.672
MemPAE-ws-d32-lr0.005-t0.1,0.6133,0.9831,0.8024,0.4899,0.6388,0.3283,0.9754,0.4104,0.2309,0.698,0.8626,0.864,0.7625,0.7988,0.7809,0.6826
MemPAE-ws-d32-lr0.01,0.6152,0.9829,0.7484,0.4892,0.609,0.3174,0.9777,0.3942,0.3187,0.6834,0.7368,0.8624,0.7444,0.7938,0.7933,0.6711
MemPAE-ws-d32-lr0.01-t0.1,0.6137,0.9819,0.7518,0.4694,0.625,0.2647,0.9649,0.3953,0.3193,0.6849,0.8407,0.8657,0.7837,0.797,0.721,0.6719
MemPAE-ws-d32-lr0.05,0.6125,0.9894,0.8562,0.3772,0.7292,0.1545,0.9236,0.3461,0.0674,0.6949,0.4521,0.7902,0.7683,0.7686,0.6575,0.6125
MemPAE-ws-d32-lr0.05-t0.1,0.6127,0.9887,0.8241,0.3973,0.7259,0.1543,0.9223,0.3191,0.0824,0.6942,0.5222,0.833,0.7698,0.7683,0.6349,0.6166
MemPAE-ws-d64-lr0.001,0.606,0.9853,0.838,0.5015,0.6954,0.279,0.9791,0.4286,0.1816,0.6929,0.8838,0.8677,0.7467,0.7868,0.8444,0.6878
MemPAE-ws-d64-lr0.001-t0.1,0.6087,0.9869,0.8303,0.5092,0.6857,0.3155,0.9772,0.4237,0.1794,0.6953,0.8804,0.8693,0.7568,0.7653,0.7799,0.6842
MemPAE-ws-d64-lr0.005,0.6115,0.9822,0.7663,0.4686,0.6189,0.2903,0.976,0.4091,0.2466,0.6772,0.7042,0.8643,0.7661,0.776,0.827,0.6656
MemPAE-ws-d64-lr0.005-t0.1,0.6125,0.9815,0.7853,0.4944,0.6318,0.2695,0.9753,0.4097,0.2906,0.6762,0.907,0.8659,0.7671,0.7697,0.7621,0.6799
MemPAE-ws-d64-lr0.01,0.6128,0.9806,0.7248,0.4049,0.6168,0.2647,0.9801,0.3812,0.3503,0.694,0.624,0.8598,0.7126,0.7726,0.744,0.6482
MemPAE-ws-d64-lr0.01-t0.1,0.6144,0.9795,0.7458,0.4684,0.6667,0.2718,0.9401,0.3966,0.2209,0.6875,0.8303,0.8608,0.7249,0.7651,0.7352,0.6605
MemPAE-ws-d64-lr0.05,0.6125,0.9904,0.8565,0.438,0.7391,0.1545,0.9166,0.3421,0.0592,0.695,0.3992,0.7706,0.7926,0.7686,0.6514,0.6124
MemPAE-ws-d64-lr0.05-t0.1,0.6124,0.9874,0.8581,0.4519,0.7383,0.1608,0.9198,0.3232,0.0607,0.6947,0.3895,0.8082,0.7892,0.7687,0.6496,0.6142
