,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_514,-0.0073,0.0003,0.0299,0.0212,0.0295,0.028,0.0346,0.0281,0.0305,0.0312,0.233,0.0035,0.0007,0.0019,0.0028,0.0038,0.0009,0.0008,0.0017,0.0161
feature_515,-0.0183,0.0006,0.0323,0.0227,0.0316,0.0265,0.0357,0.0304,0.0317,0.0326,0.2434,0.0033,0.0024,0.0021,0.0026,0.0036,0.001,0.0008,0.0008,0.0167
feature_516,0.0098,0.0003,0.0288,0.0233,0.029,0.0278,0.0328,0.0288,0.0289,0.0294,0.2287,0.0008,0.0024,0.0013,0.001,0.0034,0.0011,0.0009,0.0018,0.0129
feature_517,0.0199,0.0007,0.0216,0.0295,0.021,0.0259,0.0251,0.0219,0.0222,0.0212,0.1883,0.0015,0.0025,0.0014,0.0014,0.0018,0.0008,0.0007,0.0007,0.0109
feature_518,0.0435,0.0015,0.0226,0.0349,0.0225,0.0328,0.0275,0.0256,0.0246,0.0224,0.2129,0.0011,0.0017,0.0008,0.001,0.0011,0.0026,0.0006,0.0005,0.0094
feature_519,-0.0453,0.0016,0.0217,0.0309,0.0209,0.0288,0.0242,0.0237,0.023,0.0208,0.194,0.0015,0.0009,0.0011,0.0011,0.002,0.0018,0.0011,0.0009,0.0104
feature_520,0.0073,0.0003,0.0248,0.0435,0.0247,0.0364,0.0288,0.0273,0.0269,0.024,0.2364,0.0015,0.0007,0.0015,0.0049,0.0021,0.0022,0.0009,0.0007,0.0144
feature_521,0.0434,0.0015,0.0237,0.0372,0.0232,0.028,0.0221,0.0233,0.0245,0.0215,0.2033,0.0022,0.0014,0.0018,0.002,0.0014,0.0016,0.0015,0.0012,0.0131
feature_522,0.0216,0.0007,0.0251,0.0548,0.0241,0.0299,0.0214,0.0252,0.0272,0.0222,0.2299,0.0018,0.0026,0.0014,0.0013,0.001,0.0015,0.0011,0.0009,0.0116
feature_523,0.0271,0.0009,0.0232,0.0477,0.0221,0.0271,0.0202,0.0244,0.0255,0.0214,0.2114,0.0015,0.0006,0.0008,0.002,0.0015,0.0022,0.001,0.0011,0.0105
feature_524,0.0289,0.001,0.0215,0.034,0.0252,0.0263,0.0179,0.0227,0.0236,0.0226,0.1938,0.0014,0.0007,0.0017,0.0029,0.0011,0.0035,0.0018,0.0006,0.0137
feature_525,-0.0105,0.0004,0.0193,0.0288,0.0245,0.0236,0.0165,0.0203,0.0217,0.0225,0.1772,0.0006,0.0008,0.0013,0.002,0.0021,0.0035,0.0015,0.0007,0.0124
feature_526,-0.0566,0.002,0.0191,0.0306,0.0225,0.0234,0.0163,0.02,0.0213,0.021,0.1742,0.0007,0.0009,0.0011,0.0046,0.0011,0.0019,0.0006,0.0005,0.0113
feature_527,-0.022,0.0008,0.0212,0.0379,0.024,0.0255,0.0183,0.0216,0.0233,0.0223,0.1941,0.0007,0.001,0.0009,0.0014,0.0009,0.0046,0.0007,0.0007,0.0109
feature_528,-0.0187,0.0006,0.0268,0.0328,0.024,0.0419,0.0299,0.0296,0.0307,0.0215,0.237,0.0047,0.0012,0.0012,0.0008,0.0014,0.0015,0.0016,0.0015,0.0141
feature_529,0.0315,0.0011,0.0208,0.0234,0.0203,0.0222,0.0197,0.0227,0.0221,0.0205,0.1717,0.0011,0.0013,0.002,0.0006,0.0008,0.0018,0.0006,0.0013,0.0094
